"filename", "language", "YAML", "Dart", "Markdown", "JavaScript", "JSON", "C++", "HTML", "Swift", "XML", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"d:\Flutter_projects\technozia\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Flutter_projects\technozia\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"d:\Flutter_projects\technozia\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\technozia\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\Flutter_projects\technozia\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 15, 67
"d:\Flutter_projects\technozia\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\technozia\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\technozia\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Flutter_projects\technozia\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Flutter_projects\technozia\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Flutter_projects\technozia\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Flutter_projects\technozia\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 28, 1052, 13, 143, 2527, 529, 38, 38, 466, 36, 8, 89, 301, 411, 5679
